name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Khojaly,538011350,9779018,V7A6997,0-AllShips,7-Cargo,255.6,6,1-AtAnchor,0.1,1738655066,180,30,33.7334,-118.152632,2025-02-04T07:45:46Z
Rcc Shanghai,311003600,9361823,C6XA5,0-AllShips,7-Cargo,235.1,295,1-AtAnchor,0,1738655067,176,32,34.10988,-119.207613,2025-02-04T07:45:46Z
Argonauta,338146507,0,,0-AllShips,6-Passenger,-1,-1,15-NotDefined,0,1738652879,8,4,34.443658,-119.96201,2025-02-04T07:45:46Z
Pelican,338230343,0,,0-AllShips,36-Sailing,-1,77.9,15-NotDefined,0,1738655104,12,4,33.751623,-118.110367,2025-02-04T07:45:46Z
Orca,338505506,0,,0-AllShips,37-Pleasure,-1,49.1,15-NotDefined,0,1738655101,18,5,33.725613,-118.071563,2025-02-04T07:45:46Z
El Patron,366915000,0,WDN6365,0-AllShips,6-Passenger,-1,-1,15-NotDefined,0,1738655012,14,4,33.772725,-118.208385,2025-02-04T07:45:46Z
Ultra Pacific,367547310,0,WDG5500,0-AllShips,30-Fishing,220.7,261.1,15-NotDefined,0,1738655005,4,14,34.24221,-119.26459,2025-02-04T07:45:46Z
Valkyrie,368095720,0,WDK8602,0-AllShips,37-Pleasure,-1,240.6,15-NotDefined,0,1738655013,21,5,34.178022,-119.223762,2025-02-04T07:45:46Z
Morosao,368230140,0,WDM7015,0-AllShips,36-Sailing,-1,75,15-NotDefined,0,1738655132,17,5,33.979135,-118.4472,2025-02-04T07:45:46Z
Pamela,368399960,0,WDP9514,0-AllShips,37-Pleasure,49.7,253.4,15-NotDefined,0,1738654929,21,6,33.618547,-117.927752,2025-02-04T07:45:46Z
Dreamer,338146692,0,,0-AllShips,37-Pleasure,170,131.3,15-NotDefined,0,1738655037,5,2,33.75075,-118.111627,2025-02-04T07:45:46Z
S/v Surprise,338345406,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0.1,1738655063,12,4,34.247653,-119.265568,2025-02-04T07:45:46Z
Costa Fortuna,338394826,0,,0-AllShips,37-Pleasure,-1,161,15-NotDefined,0.1,1738655081,18,2,34.253267,-119.265633,2025-02-04T07:45:46Z
Kolohe,338466098,0,,0-AllShips,36-Sailing,24.2,85.2,15-NotDefined,0,1738654607,16,9,33.979768,-118.44283,2025-02-04T07:45:46Z
Catalina Jet,367199310,899414200,WDD8449,0-AllShips,4-HSC,243.2,2.8,15-NotDefined,0,1738655138,42,12,33.763037,-118.199472,2025-02-04T07:45:46Z
No Ties,367547980,0,WDG5571,0-AllShips,36-Sailing,286.7,272.7,15-NotDefined,0,1738654604,17,6,33.980952,-118.451795,2025-02-04T07:45:46Z
September Bliss,368101520,0,WDK9211,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738655137,0,0,33.979915,-118.443933,2025-02-04T07:45:46Z
Aphrodite,538070427,0,  V7NN2,0-AllShips,9-Other,254.1,236,5-Moored,0,1738654834,39,8,33.613862,-117.904878,2025-02-04T07:45:46Z
