name,mmsi,imoNumber,callSign,cargo,vesselType,COG,heading,navStatus,SOG,timeOfFix,length,beam,latitude,longitude,datePulled
Blondie,338352228,0,N/A,0-AllShips,37-Pleasure,-1,325.7,15-NotDefined,0,1738653858,0,0,33.607327,-117.885992,2025-02-04T07:45:46Z
Wild Hare,338400762,0,XXXXXXX,0-AllShips,37-Pleasure,281.8,108,15-NotDefined,0,1738654492,12,4,33.619863,-117.894027,2025-02-04T07:45:46Z
Dark Side,338518741,0,,0-AllShips,37-Pleasure,-1,82.6,15-NotDefined,0,1738655110,12,4,33.751868,-118.110238,2025-02-04T07:45:46Z
Barbara J Mulholland,367569830,0,WDG7687,0-AllShips,31-Towing,242.6,206,0-Underway(Engine),0,1738655142,30,12,33.763678,-118.256788,2025-02-04T07:45:46Z
Fireboat 15,367760290,0,WDJ2641,0-AllShips,51-SAR,9.2,9.2,5-Moored,0.3,1738655088,35,10,33.748165,-118.215568,2025-02-04T07:45:46Z
Seven Thunders,368243370,0,WDM8448,0-AllShips,37-Pleasure,20.7,271,15-NotDefined,0,1738655081,0,0,33.761077,-118.191783,2025-02-04T07:45:46Z
Manukai,369296000,9244130,WRGD,1-HazCatX,7-Cargo,131.3,43,5-Moored,0,1738655062,217,32,33.741393,-118.194627,2025-02-04T07:45:46Z
Sequel,338247729,0,,0-AllShips,37-Pleasure,0,349.9,15-NotDefined,0,1738655010,15,3,33.98048,-118.447035,2025-02-04T07:45:46Z
The Beach House,338353004,0,,0-AllShips,37-Pleasure,-1,265.6,15-NotDefined,0,1738655056,14,4,33.978325,-118.449565,2025-02-04T07:45:46Z
Reel Particular,338401939,0,,0-AllShips,37-Pleasure,-1,170.3,15-NotDefined,0,1738655128,14,4,33.724912,-118.073107,2025-02-04T07:45:46Z
Obsession,338060204,0,,0-AllShips,37-Pleasure,-1,135,0-Underway(Engine),0,1738654820,26,7,34.166677,-119.226533,2025-02-04T07:45:46Z
Vermeer,338167743,0,,0-AllShips,37-Pleasure,255,248.9,15-NotDefined,0,1738655141,11,4,33.71883,-118.281848,2025-02-04T07:45:46Z
La Mer,338472118,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654866,11,7,33.981612,-118.445273,2025-02-04T07:45:46Z
Masco Endeavor,366994250,8987905,WDC2519,9-NoInfo,0-Unknown,274,218,5-Moored,0,1738655004,55,11,33.731827,-118.264143,2025-02-04T07:45:46Z
True Blue,367345050,0,WDI9958,0-AllShips,36-Sailing,0,95.2,15-NotDefined,0,1738655108,16,4,33.978153,-118.449487,2025-02-04T07:45:46Z
Darell Hiatt,368133450,1301246,WDL4645,0-AllShips,31-Towing,27.5,10,0-Underway(Engine),5.4,1738655140,27,10,33.758073,-118.260977,2025-02-04T07:45:46Z
Star Lambada,636017386,9719551,D5KQ7,0-AllShips,7-Cargo,108.4,231,1-AtAnchor,0,1738655031,229,32,33.738483,-118.21593,2025-02-04T07:45:46Z
Kelani,338519276,0,,0-AllShips,37-Pleasure,-1,344.3,15-NotDefined,0.1,1738654974,15,4,33.762325,-118.182928,2025-02-04T07:45:46Z
Escapade,367345120,0,,0-AllShips,36-Sailing,232.1,199.4,15-NotDefined,0,1738655068,11,2,33.751898,-118.111412,2025-02-04T07:45:46Z
Rae C Irene,367770690,0,WDJ3720,0-AllShips,37-Pleasure,19.8,299.1,15-NotDefined,0,1738654530,15,5,33.976555,-118.449553,2025-02-04T07:45:46Z
My Bonnie,368243890,0,WDM8507,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655049,22,6,33.982752,-118.451338,2025-02-04T07:45:46Z
Go Time,338247851,0,,0-AllShips,30-Fishing,259.8,100,15-NotDefined,0,1738655063,10,4,33.725397,-118.074943,2025-02-04T07:45:46Z
Cheers,338354069,0,RON G,0-AllShips,37-Pleasure,-1,316.4,15-NotDefined,0,1738654899,12,2,33.762418,-118.116387,2025-02-04T07:45:46Z
Hotel California,338411017,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654899,10,4,33.712572,-118.05523,2025-02-04T07:45:46Z
Donz Rig,367571130,0,WDG7817,0-AllShips,30-Fishing,288.4,203,15-NotDefined,3.9,1738654986,0,0,33.473168,-118.608075,2025-02-04T07:45:46Z
Cape Ann,369322000,9848510,WDJ8731,0-AllShips,57-Spare,126.7,286,1-AtAnchor,0,1738655143,139,22,33.742498,-118.172617,2025-02-04T07:45:46Z
Rtime,338067371,0,,0-AllShips,37-Pleasure,-1,109,15-NotDefined,0,1738654943,14,4,33.459983,-117.701777,2025-02-04T07:45:46Z
Gotta Go,338172029,0,,0-AllShips,37-Pleasure,351.3,356.8,15-NotDefined,0,1738654749,10,4,33.460278,-117.695118,2025-02-04T07:45:46Z
Drifter,338473134,0,WDI7458,0-AllShips,37-Pleasure,30.9,198,15-NotDefined,0,1738655010,15,5,33.722957,-118.06678,2025-02-04T07:45:46Z
Millenium Maverick,366998840,9159713,WDM6880,0-AllShips,52-Tug,315.9,309,0-Underway(Engine),0,1738655134,0,0,33.763917,-118.256833,2025-02-04T07:45:46Z
Innovation,367771000,9542594,WDF4831,9-NoInfo,8-Tanker,286.3,195,1-AtAnchor,0.1,1738655098,210,23,33.73874,-118.22521,2025-02-04T07:45:46Z
Aurora,338519446,0,WAE3755,0-AllShips,36-Sailing,-1,76.7,15-NotDefined,0,1738654601,13,4,34.244977,-119.259463,2025-02-04T07:45:46Z
Dauntless,367348670,0,WDE4094,0-AllShips,36-Sailing,0,307.9,15-NotDefined,0,1738654964,16,6,33.610683,-117.923948,2025-02-04T07:45:46Z
Level Up,368133970,0,WDL4699,0-AllShips,36-Sailing,9.7,353.5,15-NotDefined,0,1738654988,17,5,34.16338,-119.225813,2025-02-04T07:45:46Z
Avontuur,368246220,0,WDM8761,0-AllShips,37-Pleasure,204.7,46,15-NotDefined,0,1738654793,27,6,33.611778,-117.927083,2025-02-04T07:45:46Z
Msc Eloane,636017435,9755957,D5KY2,1-HazCatX,7-Cargo,64.4,70,5-Moored,0,1738654976,400,59,33.753413,-118.235187,2025-02-04T07:45:46Z
Ann-elyse,338174439,0,,0-AllShips,37-Pleasure,88,60.9,15-NotDefined,0,1738654555,10,7,33.619408,-117.895137,2025-02-04T07:45:46Z
Sea Monster,338249095,0,,0-AllShips,37-Pleasure,-1,359.8,15-NotDefined,0,1738654932,13,5,34.180247,-119.22618,2025-02-04T07:45:46Z
Seaclusion,338354382,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655064,14,5,34.242982,-119.262318,2025-02-04T07:45:46Z
Cielo,338417063,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655138,8,4,34.403497,-119.694567,2025-02-04T07:45:46Z
Irving Johnson,369725000,0,WDB3153,9-NoInfo,6-Passenger,-1,334.3,5-Moored,0,1738655136,33,6,33.736875,-118.277968,2025-02-04T07:45:46Z
Pez Finder,338067800,0,,0-AllShips,37-Pleasure,-1,110.6,15-NotDefined,0,1738654757,12,4,33.98272,-118.450783,2025-02-04T07:45:46Z
Sara,338174777,0,,0-AllShips,36-Sailing,353.1,76,15-NotDefined,0,1738655020,12,2,33.975565,-118.450735,2025-02-04T07:45:46Z
Baltimore,338602000,9804784,WD19338,0-AllShips,52-Tug,56,127,1-AtAnchor,0,1738655058,29,10,33.74613,-118.211213,2025-02-04T07:45:46Z
White Shark,367574860,0,WDG8183,0-AllShips,37-Pleasure,190.8,70.5,15-NotDefined,0,1738654798,14,4,33.726733,-118.064977,2025-02-04T07:45:46Z
Moonshadow Star,368134990,0,WDL4804,0-AllShips,36-Sailing,172.1,94.4,15-NotDefined,0,1738655072,18,3,33.749753,-118.114013,2025-02-04T07:45:46Z
Boat 15,338250173,0,,0-AllShips,51-SAR,-1,180,15-NotDefined,0,1738654610,11,2,34.161822,-119.222887,2025-02-04T07:45:46Z
Freyja,338361459,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738655060,13,4,34.406307,-119.689432,2025-02-04T07:45:46Z
Carabella Iv,338473815,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654939,0,0,33.615218,-117.902272,2025-02-04T07:45:46Z
Cg Halibut,366999662,0,NNGH,0-AllShips,55-Law,100.9,37,5-Moored,0,1738655096,26,6,33.97018,-118.446682,2025-02-04T07:45:46Z
Empire State,367353080,9408126,WDE4431,0-AllShips,8-Tanker,265.6,269,0-Underway(Engine),14.2,1738654872,183,32,33.627337,-120.633323,2025-02-04T07:45:46Z
Kaylee,367778330,0,WDJ4506,0-AllShips,36-Sailing,94.9,0.5,15-NotDefined,0,1738655033,10,3,34.24689,-119.26512,2025-02-04T07:45:46Z
Dos Amigos,368252690,0,WDM9442,0-AllShips,37-Pleasure,-1,129.2,15-NotDefined,0,1738654810,16,4,34.243395,-119.26229,2025-02-04T07:45:46Z
Chiquita Progress,636017731,9357119,A8OF7,0-AllShips,7-Cargo,314.9,313,0-Underway(Engine),14.6,1738655098,202,28,32.97569,-118.209682,2025-02-04T07:45:46Z
,338418221,0,,0-AllShips,39-Reserved,304.5,131.6,15-NotDefined,0,1738655049,0,0,33.845545,-118.39602,2025-02-04T07:45:46Z
Always Right,367599960,0,WDL7051,0-AllShips,37-Pleasure,334.8,-1,15-NotDefined,0,1738655122,14,5,33.720658,-118.278118,2025-02-04T07:45:46Z
Lefkara,370573000,9399882,3ETI6,0-AllShips,8-Tanker,266.5,334,1-AtAnchor,0.1,1738655082,183,32,33.73362,-118.160743,2025-02-04T07:45:46Z
Good Vibrations,338068521,0,,0-AllShips,37-Pleasure,271.2,274.3,15-NotDefined,0,1738655070,14,5,33.981947,-118.448892,2025-02-04T07:45:46Z
Islandia Ii,338175175,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655058,12,3,34.179217,-119.226952,2025-02-04T07:45:46Z
Get Nuts,338252851,0,,0-AllShips,37-Pleasure,-1,359.7,15-NotDefined,0,1738654655,13,5,33.980673,-118.453887,2025-02-04T07:45:46Z
Miss Bee Havn,367778930,0,WDJ4565,0-AllShips,37-Pleasure,96.1,355.4,15-NotDefined,0,1738655011,12,6,33.460162,-117.69775,2025-02-04T07:45:46Z
Hercules,368136950,0,WDL5002,0-AllShips,52-Tug,179.7,123,15-NotDefined,0,1738655140,27,12,33.742717,-118.193083,2025-02-04T07:45:46Z
Off Season,338362994,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654428,17,5,33.726835,-118.061885,2025-02-04T07:45:46Z
Raven Heart,338474543,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738654879,13,4,33.982488,-118.444788,2025-02-04T07:45:46Z
Cgc Robert Ward,338926430,0,NRTW,9-NoInfo,0-Unknown,0,163,5-Moored,0,1738655014,44,8,33.726183,-118.26968,2025-02-04T07:45:46Z
Pillar Bay,367002510,0,WDC3090,0-AllShips,30-Fishing,9.8,231.9,15-NotDefined,0.1,1738655130,20,6,34.242312,-119.26435,2025-02-04T07:45:46Z
Das Boot,368254780,0,WDM9657,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738654787,16,4,33.972838,-118.454868,2025-02-04T07:45:46Z
Seattle Express,636020257,9348687,A8PS5,0-AllShips,7-Cargo,313.9,267,1-AtAnchor,0.1,1738655108,293,32,33.660105,-118.134973,2025-02-04T07:45:46Z
Double Down,338176416,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738654946,10,3,33.973127,-118.451053,2025-02-04T07:45:46Z
,338288336,,,,,262.3,262.3,15-NotDefined,0,1738651655,,,33.762778,-118.265622,2025-02-04T07:45:46Z
Topaz,338364031,0,,0-AllShips,37-Pleasure,225.1,257.5,15-NotDefined,0,1738655140,20,6,33.620268,-117.928458,2025-02-04T07:45:46Z
King And I,338421899,0,,0-AllShips,37-Pleasure,253.3,180,15-NotDefined,0,1738654968,0,0,33.972898,-118.451892,2025-02-04T07:45:46Z
Sunshine State,367353090,9408114,WDE4432,0-AllShips,8-Tanker,236,237,5-Moored,0,1738655050,183,32,33.748967,-118.209967,2025-02-04T07:45:46Z
Sea Force,367616090,0,WDH4282,0-AllShips,53-Tender,197.8,288,5-Moored,0,1738655031,25,6,33.77003,-118.212525,2025-02-04T07:45:46Z
3 Ten,367779170,0,WDM8093,0-AllShips,37-Pleasure,-1,230.3,15-NotDefined,0,1738654973,19,6,33.605558,-117.908468,2025-02-04T07:45:46Z
One Henry Hudson,370587000,9302176,3ETK4,1-HazCatX,7-Cargo,299.3,300,0-Underway(Engine),10.9,1738655139,336,46,34.047677,-119.215432,2025-02-04T07:45:46Z
Rumrunner Ii,338075091,0,,0-AllShips,37-Pleasure,156.1,267.1,15-NotDefined,0,1738654814,12,4,34.244142,-119.26296,2025-02-04T07:45:46Z
Bare Footin',338301498,0,,0-AllShips,37-Pleasure,-1,192.4,15-NotDefined,0,1738654599,11,4,33.606832,-117.88567,2025-02-04T07:45:46Z
Cabrillo,367004260,0,WBU7354,0-AllShips,52-Tug,218.2,86.1,0-Underway(Engine),0,1738655141,19,3,33.744035,-118.204575,2025-02-04T07:45:46Z
Pied-a-mer,338475197,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655098,15,5,33.980958,-118.45134,2025-02-04T07:45:46Z
Imagine,339559000,0,,0-AllShips,36-Sailing,233.6,178.4,15-NotDefined,0,1738654999,20,5,33.977428,-118.449507,2025-02-04T07:45:46Z
Castello,367789430,0,WDJ5599,0-AllShips,37-Pleasure,312.1,288.6,15-NotDefined,0,1738655143,16,6,33.972303,-118.455268,2025-02-04T07:45:46Z
Second Wind,368149710,0,WDL6331,0-AllShips,37-Pleasure,-1,31,15-NotDefined,0,1738654924,15,5,33.615523,-117.901362,2025-02-04T07:45:46Z
Va Santa Monica,368264950,0,WDN2750,0-AllShips,31-Towing,83.6,62,5-Moored,0,1738655093,9,4,33.97636,-118.442945,2025-02-04T07:45:46Z
G.crown,636022687,9982483,5LJZ5,0-AllShips,7-Cargo,185.6,335,5-Moored,0,1738655126,172,28,33.762443,-118.276272,2025-02-04T07:45:46Z
Fzproductions,338078421,0,FZ,0-AllShips,37-Pleasure,0,11.9,15-NotDefined,0,1738655081,20,4,33.979652,-118.446945,2025-02-04T07:45:46Z
Cinderella,338177481,0,,0-AllShips,37-Pleasure,212.6,-1,15-NotDefined,0,1738655093,12,4,33.720505,-118.280083,2025-02-04T07:45:46Z
Valhowell,338302249,0,,0-AllShips,36-Sailing,253.8,262.4,15-NotDefined,0,1738655094,16,2,34.244397,-119.26311,2025-02-04T07:45:46Z
Never,338364492,0,,0-AllShips,4-HSC,-1,-1,15-NotDefined,0,1738654708,13,4,34.242342,-119.261828,2025-02-04T07:45:46Z
Suenos,338422171,0,,0-AllShips,37-Pleasure,-1,74,15-NotDefined,0,1738654759,12,4,34.244732,-119.259337,2025-02-04T07:45:46Z
Gan Eden,367371520,0,WDE5779,0-AllShips,37-Pleasure,276.7,235.8,15-NotDefined,0,1738655138,21,6,33.619058,-117.92381,2025-02-04T07:45:46Z
Love The Journey,367621460,0,WDH4795,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654752,18,6,33.7574,-118.186713,2025-02-04T07:45:46Z
Salte,367791820,0,WDJ5840,0-AllShips,37-Pleasure,225.6,166.1,15-NotDefined,0,1738654687,23,6,33.611125,-117.927927,2025-02-04T07:45:46Z
Ever Fame,373712000,9850800,H9CF,0-AllShips,7-Cargo,4.6,201,5-Moored,0,1738654975,334,48,33.726023,-118.25998,2025-02-04T07:45:46Z
Southern Speed,338302255,0,,0-AllShips,37-Pleasure,50.4,16.2,15-NotDefined,0,1738655041,9,6,33.721722,-118.280543,2025-02-04T07:45:46Z
,338364495,,,,,-1,12,15-NotDefined,0,1738654296,,,34.241667,-119.261667,2025-02-04T07:45:46Z
Reel Deal,338424122,0,,0-AllShips,37-Pleasure,-1,241,15-NotDefined,0,1738655092,13,6,33.981225,-118.444987,2025-02-04T07:45:46Z
,343285756,,,,,270.3,327,12-Reserved,0.4,1738654843,,,33.733657,-118.161012,2025-02-04T07:45:46Z
Robyn J,367006770,0,WTQ4065,0-AllShips,31-Towing,144.4,143,0-Underway(Engine),6.7,1738655130,36,8,33.310283,-117.855268,2025-02-04T07:45:46Z
Parlay,368155570,0,WDL6941,0-AllShips,37-Pleasure,3.9,292.4,15-NotDefined,0.1,1738654889,11,4,33.609993,-117.89592,2025-02-04T07:45:46Z
Wolverine,368265680,0,WDN2825,0-AllShips,30-Fishing,-1,-1,15-NotDefined,0,1738655033,26,8,33.737297,-118.265645,2025-02-04T07:45:46Z
Star Gibraltar,636024192,9702508,5LRK8,7-Reserved,7-Cargo,211.5,37,5-Moored,0.1,1738655142,200,32,33.7575,-118.262613,2025-02-04T07:45:46Z
Malika,338081579,0,,0-AllShips,37-Pleasure,342.4,92.2,15-NotDefined,0,1738654989,13,4,33.72085,-118.280478,2025-02-04T07:45:46Z
Barbara Ann,338178609,0,,0-AllShips,37-Pleasure,160.1,316,15-NotDefined,0,1738654885,14,4,34.180402,-119.228607,2025-02-04T07:45:46Z
Brisa,338364968,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738655042,12,4,33.752183,-118.111288,2025-02-04T07:45:46Z
Knot Trading,338475617,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655020,14,6,33.972247,-118.454443,2025-02-04T07:45:46Z
Do Nothin',347016450,0,,0-AllShips,36-Sailing,45.7,78.3,15-NotDefined,0,1738655065,10,5,33.760933,-118.191825,2025-02-04T07:45:46Z
Joy,367380450,0,WDE6451,0-AllShips,36-Sailing,218.2,72.4,15-NotDefined,0,1738654774,13,4,34.245595,-119.26469,2025-02-04T07:45:46Z
Delta Audrey,367625810,0,WDH5227,0-AllShips,52-Tug,161.4,243,0-Underway(Engine),0,1738655139,32,12,33.772858,-118.217952,2025-02-04T07:45:46Z
Rum Away,368001460,0,WDJ6912,0-AllShips,37-Pleasure,266.5,76.5,15-NotDefined,0.1,1738655049,14,8,33.974863,-118.453507,2025-02-04T07:45:46Z
Caribbean,368270970,9694608,WDN3363,0-AllShips,7-Cargo,250.2,291,5-Moored,0.1,1738654981,66,14,34.148715,-119.202652,2025-02-04T07:45:46Z
Dark Side,338303696,0,,0-AllShips,37-Pleasure,345.1,201.1,15-NotDefined,0,1738654978,11,4,33.60284,-117.887847,2025-02-04T07:45:46Z
Lottus,374158000,0,HP8554,0-AllShips,37-Pleasure,318.7,354,15-NotDefined,0,1738655021,0,0,33.762237,-118.183015,2025-02-04T07:45:46Z
Janice O,338181008,0,,0-AllShips,37-Pleasure,255.1,255.1,15-NotDefined,0,1738654618,0,0,33.714133,-118.062635,2025-02-04T07:45:46Z
Patriot,338424198,0,,0-AllShips,36-Sailing,16.5,288.5,15-NotDefined,0,1738655130,12,6,33.979703,-118.452773,2025-02-04T07:45:46Z
Yeah Baybee!,367380940,0,WDH3042,0-AllShips,37-Pleasure,200.3,336.1,0-Underway(Engine),0,1738655141,20,6,33.971078,-118.44957,2025-02-04T07:45:46Z
Vesper,368156420,0,WDL7026,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655028,18,5,33.983422,-118.450112,2025-02-04T07:45:46Z
Buenomar,974570043,0,,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0.1,1738655076,18,6,34.405885,-119.689908,2025-02-04T07:45:46Z
Lb Pilot Boat Altair,338087117,0,,0-AllShips,37-Pleasure,147.3,113.3,15-NotDefined,0.2,1738655112,0,0,33.747125,-118.215633,2025-02-04T07:45:46Z
Second Wind,338304692,0,,0-AllShips,36-Sailing,250,253,15-NotDefined,0.1,1738655084,10,3,33.84807,-118.398127,2025-02-04T07:45:46Z
V.a.point Vicente,338366226,0,,0-AllShips,31-Towing,247.7,222,0-Underway(Engine),0,1738655143,23,6,33.72341,-118.280665,2025-02-04T07:45:46Z
Second Wind,338476311,0,,0-AllShips,37-Pleasure,-1,285,15-NotDefined,0,1738654515,12,2,33.981235,-118.447305,2025-02-04T07:45:46Z
Sunrise Queen,352002693,9959723,3E5007,0-AllShips,7-Cargo,344.2,179,5-Moored,0,1738655142,190,32,33.746757,-118.206757,2025-02-04T07:45:46Z
J&b,367010460,0,WDC3576,0-AllShips,30-Fishing,47.7,31.5,15-NotDefined,0,1738655088,20,0,33.614513,-117.913838,2025-02-04T07:45:46Z
Polariis,368006130,0,WDJ7377,0-AllShips,37-Pleasure,252.4,42.9,15-NotDefined,0,1738654862,22,7,33.612055,-117.926393,2025-02-04T07:45:46Z
Imagine Too,368272210,0,WDN3497,0-AllShips,36-Sailing,319.5,82.2,15-NotDefined,0,1738655106,14,3,33.758175,-118.18619,2025-02-04T07:45:46Z
Querencia,338181327,0,,0-AllShips,37-Pleasure,-1,339.7,15-NotDefined,0,1738654607,10,4,34.170813,-119.22925,2025-02-04T07:45:46Z
Surfrider,367626680,0,WDH5312,0-AllShips,37-Pleasure,188.7,213,15-NotDefined,0.1,1738654867,30,6,33.97302,-118.453083,2025-02-04T07:45:46Z
Msc Arina,374607000,9839284,H9BV,1-HazCatX,7-Cargo,85.6,359,5-Moored,0,1738655060,400,61,33.75397,-118.214163,2025-02-04T07:45:46Z
Wise Guy,338425335,0,,0-AllShips,37-Pleasure,-1,330.7,15-NotDefined,0,1738655104,0,0,33.614765,-117.923667,2025-02-04T07:45:46Z
Por La Mar,338476423,0,,0-AllShips,37-Pleasure,-1,260.3,15-NotDefined,0,1738655006,11,4,33.75861,-118.190472,2025-02-04T07:45:46Z
Galileo,368158150,0,WDL7214,0-AllShips,36-Sailing,-1,188,15-NotDefined,0,1738655080,14,8,33.975512,-118.45709,2025-02-04T07:45:46Z
Hammer,338092107,0,WDC9051,0-AllShips,37-Pleasure,123.7,175,15-NotDefined,0,1738654661,13,5,33.725828,-118.076415,2025-02-04T07:45:46Z
Cazadorgb32,338182181,0,WTF8505,0-AllShips,37-Pleasure,-1,269.1,15-NotDefined,0,1738655054,11,4,33.609867,-117.915527,2025-02-04T07:45:46Z
Ventura H. Ptrl19,338304801,0,,0-AllShips,51-SAR,73.9,247.4,15-NotDefined,0,1738654871,9,4,34.252352,-119.267053,2025-02-04T07:45:46Z
Salty Bird,338426438,0,SALTY B,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654775,13,4,33.615747,-117.916007,2025-02-04T07:45:46Z
Radiant,367015450,0,WV4560,0-AllShips,37-Pleasure,234.7,357.9,15-NotDefined,0.1,1738652569,0,0,33.71937,-118.28194,2025-02-04T07:45:46Z
Truth,367384840,0,WDL9629,0-AllShips,34-Diving,267.1,23.3,15-NotDefined,0,1738655018,21,7,34.408043,-119.691573,2025-02-04T07:45:46Z
Sea Cloud,367627130,0,WDH5355,0-AllShips,37-Pleasure,53.6,65,15-NotDefined,0,1738655126,14,4,33.725812,-118.062025,2025-02-04T07:45:46Z
Happiness,368006740,0,WDL3684,0-AllShips,37-Pleasure,-1,190.3,15-NotDefined,0,1738654559,25,6,33.972833,-118.451467,2025-02-04T07:45:46Z
Mandala,368272230,0,WDN3499,0-AllShips,36-Sailing,-1,-1,15-NotDefined,0,1738655122,11,6,33.758622,-118.189807,2025-02-04T07:45:46Z
Storm Maker Iii,338183558,0,,0-AllShips,37-Pleasure,169.8,169.8,15-NotDefined,0,1738651621,13,5,33.719645,-118.279965,2025-02-04T07:45:46Z
Glansea,338368678,0,,0-AllShips,37-Pleasure,279.1,243,15-NotDefined,0,1738655070,0,0,34.181907,-119.229767,2025-02-04T07:45:46Z
Shogun Tender,338426907,0,,0-AllShips,37-Pleasure,135.2,281,15-NotDefined,0,1738655075,7,4,33.61465,-117.914665,2025-02-04T07:45:46Z
Seaspan Garibaldi,352004278,9974319,HOA3298,0-AllShips,8-Tanker,186.2,279,1-AtAnchor,0.3,1738655084,113,19,33.687613,-118.115843,2025-02-04T07:45:46Z
Saigon,377769000,0,J8Y3551,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738654784,28,7,33.980625,-118.453263,2025-02-04T07:45:46Z
Sweet May,338094919,0,,0-AllShips,37-Pleasure,281.5,197.3,15-NotDefined,0.1,1738655066,15,4,33.983645,-118.450927,2025-02-04T07:45:46Z
Huckleberry,338184024,0,,0-AllShips,36-Sailing,346.4,354.6,15-NotDefined,0.1,1738655096,16,5,33.975393,-118.452628,2025-02-04T07:45:46Z
Ataraxia,338310082,0,,0-AllShips,36-Sailing,264.9,181,15-NotDefined,0,1738655088,17,5,34.174378,-119.226777,2025-02-04T07:45:46Z
Burnin Daylight,338427231,0,,0-AllShips,37-Pleasure,-1,-1,15-NotDefined,0,1738655020,15,6,33.762657,-118.117293,2025-02-04T07:45:46Z
P.marie,338477075,0,P.MARIE,0-AllShips,36-Sailing,-1,48.6,15-NotDefined,0,1738654887,10,3,34.246275,-119.265155,2025-02-04T07:45:46Z
Piper Inness,367017440,8964109,WDC3984,0-AllShips,56-Spare,254.8,63,5-Moored,0,1738655009,42,8,33.770945,-118.211722,2025-02-04T07:45:46Z
Sandpiper,368159060,0,WDL7314,0-AllShips,33-Dredging,-1,217.8,3-ResManoeuvre,0,1738655086,0,0,34.407528,-119.68879,2025-02-04T07:45:46Z
Pura Vida,338368764,0,,0-AllShips,37-Pleasure,74.4,318.7,15-NotDefined,0,1738654937,15,5,34.185,-119.226267,2025-02-04T07:45:46Z
The Last Hurrah,367395330,0,WDE 760,0-AllShips,37-Pleasure,223.1,269.9,15-NotDefined,0,1738654955,26,6,33.61545,-117.9029,2025-02-04T07:45:46Z
Kokomo,367627850,0,WDH5426,0-AllShips,37-Pleasure,282.7,336.9,15-NotDefined,0,1738654816,11,4,33.848233,-118.397812,2025-02-04T07:45:46Z
Celestra,368009120,0,,0-AllShips,36-Sailing,104.9,308.6,15-NotDefined,0,1738654977,13,7,34.165962,-119.223262,2025-02-04T07:45:46Z
Pacific Alliance,368282780,0,WDN4634,0-AllShips,9-Other,195.9,10,5-Moored,0,1738655086,24,8,33.460305,-117.691527,2025-02-04T07:45:46Z
Wahoo,338310725,0,WDD8948,0-AllShips,37-Pleasure,169.4,104.1,15-NotDefined,0,1738655127,11,4,33.719683,-118.276248,2025-02-04T07:45:46Z
Son Shine,338477614,0,,0-AllShips,37-Pleasure,273.5,188,15-NotDefined,0,1738654505,14,5,34.170963,-119.226865,2025-02-04T07:45:46Z
La Di Da,367642860,0,WDH6915,0-AllShips,36-Sailing,220,186.9,15-NotDefined,0.1,1738655002,14,5,33.973117,-118.455388,2025-02-04T07:45:46Z
Flash,378112978,0,ZTL9980,0-AllShips,37-Pleasure,-1,241,15-NotDefined,0,1738655088,21,10,33.976602,-118.443615,2025-02-04T07:45:46Z
Land Shark,338098994,0,0000000,0-AllShips,37-Pleasure,104.1,272.9,15-NotDefined,0,1738654839,19,6,33.972843,-118.45276,2025-02-04T07:45:46Z
Endurance,338188639,0,ENDURAN,0-AllShips,9-Other,185,79.7,15-NotDefined,0,1738654884,16,8,33.722997,-118.05796,2025-02-04T07:45:46Z
Fight On,338369004,0,,0-AllShips,37-Pleasure,37,35.1,15-NotDefined,0,1738655132,12,6,34.405288,-119.690265,2025-02-04T07:45:46Z
Lovely Day,338427531,0,,0-AllShips,36-Sailing,-1,56.7,15-NotDefined,0,1738654548,13,4,33.98172,-118.444482,2025-02-04T07:45:46Z
Mercury Island,352004705,1017543,3E6967,0-AllShips,7-Cargo,124.7,181,5-Moored,0,1738654976,200,33,33.749138,-118.206673,2025-02-04T07:45:46Z
Debra C,367027570,7129817,WDM8821,0-AllShips,32-BigTow,240.8,252,5-Moored,0,1738655132,0,0,33.753183,-118.223905,2025-02-04T07:45:46Z
